runner_id,age,gender,running_experience_months,previous_marathon_count,training_program,motivation_level,personal_best_minutes,weekly_mileage_miles,runs_per_week,long_run_distance_km,speed_work_sessions_per_week,rest_days_per_week,training_adherence_pct,consecutive_weeks_no_miss,cross_training_hours_per_week,resting_heart_rate_bpm,vo2_max,bmi,recovery_score,sleep_hours_avg,injury_count,injury_severity,nutrition_score,hydration_consistency,training_streak_days,missed_workout_pct,early_morning_run_frequency,weather_condition_training_pct,goal_completion_rate,run_club_attendance_rate,warmup_adherence_pct,stretching_adherence_pct,marathon_date,marathon_weather,course_difficulty,target_finish_time_minutes,actual_finish_time_minutes,mental_preparation_score,medal_outcome,dnf,is_first_marathon,vo2_max_was_missing,cross_training_hours_per_week_was_missing,nutrition_score_was_missing,hydration_consistency_was_missing,sleep_hours_avg_was_missing,implausible_volume,medal,goal_gap
R009432,25,Male,48,0,Intermediate,4,,12.4,5,15.0,1,2,80,12,0.1,80,41.45038799779336,22.2,8.4,5.0,0,None,5.0,7.0,54,20,27,12,60,0,70,29,2025-02-02,Hot,Mixed,254,297.0,5,0,0,1,0,0,0,0,0,0,0,43.0
R077741,43,Female,151,2,Advanced,1,196.0,12.4,5,15.0,2,2,90,16,4.6,80,52.67555123355997,22.5,6.6,6.0,0,None,4.0,4.0,82,10,0,4,64,0,94,0,2024-02-11,Sunny,Mixed,201,231.0,7,1,0,0,0,0,0,0,0,0,1,30.0
R034376,32,Female,82,3,Advanced,6,211.0,14.4,6,15.0,2,1,87,13,6.7,80,43.60755153702439,20.6,9.3,5.5,0,None,2.0,7.0,69,13,62,30,81,54,47,39,2025-03-27,Rainy,Flat,204,234.0,9,1,0,0,0,0,0,0,0,0,1,30.0
R020754,57,Male,6,0,Beginner,8,,17.0,5,15.0,0,2,58,9,10.0,46,66.91273400091217,26.1,4.2,7.4,1,Moderate,4.0,6.0,68,27,19,48,59,63,77,45,2024-04-16,Sunny,Hilly,258,276.0,3,3,0,1,0,0,0,0,0,0,1,18.0
R001301,54,Female,11,0,Beginner,3,,12.4,5,15.0,0,2,78,10,3.0,77,56.58957001200837,20.6,3.8,8.1,1,Moderate,6.0,2.0,110,22,22,5,62,20,64,40,2025-10-21,Cloudy,Mixed,245,296.0,8,0,0,1,0,0,0,0,0,0,0,51.0
R033817,45,Male,6,0,Beginner,3,,12.4,4,15.0,1,3,95,16,0.1,74,55.2156766997156,23.9,5.0,7.3,0,None,10.0,8.0,80,5,35,37,50,19,59,47,2025-06-22,Hot,Hilly,269,314.0,8,0,0,1,0,1,0,0,0,0,0,45.0
R017407,18,Female,19,2,Beginner,1,262.0,12.4,3,15.0,1,3,59,10,0.0,72,53.55743104202453,23.3,10.0,6.2,0,None,1.0,5.0,57,41,0,0,40,0,43,29,2024-07-26,Sunny,Hilly,272,313.0,5,0,0,0,1,0,0,0,0,0,0,41.0
R064216,51,Male,43,0,Intermediate,4,,12.4,5,15.0,1,2,66,10,0.1,80,53.55743104202453,24.5,9.6,8.2,0,None,8.0,5.0,39,34,13,4,53,0,64,40,2024-01-08,Hot,Mixed,242,288.0,5,0,0,1,1,1,0,0,0,0,0,46.0
R062212,54,Male,117,4,Advanced,9,206.0,42.3,6,25.9,1,1,89,16,0.4,79,53.55743104202453,25.2,4.1,6.0,0,None,6.0,6.0,62,11,47,55,52,77,80,76,2024-06-16,Cloudy,Hilly,201,231.0,6,1,0,0,1,0,0,0,0,0,1,30.0
R086631,28,Female,38,4,Intermediate,7,295.0,28.0,4,15.0,1,3,99,16,0.0,75,56.94149700155952,21.1,6.1,7.6,0,None,6.0,3.0,112,1,64,11,80,33,74,78,2024-08-11,Cloudy,Flat,265,286.0,7,3,0,0,0,0,1,0,0,0,1,21.0
R026067,36,Male,83,2,Advanced,4,250.0,15.5,6,15.0,2,1,76,12,0.2,69,58.293428542428366,27.3,8.7,7.3,3,Minor,9.0,5.0,47,24,16,15,40,25,100,53,2024-04-14,Rainy,Mixed,215,254.0,6,0,0,0,0,0,0,0,0,0,0,39.0
R064812,47,Male,6,0,Beginner,9,,12.4,4,15.0,1,3,73,14,4.6,80,51.06453947702908,24.3,8.3,5.6,0,None,6.0,5.0,97,27,63,42,81,56,69,42,2024-02-08,Hot,Mixed,276,319.0,10,0,0,1,0,0,0,0,0,0,0,43.0
R063701,57,Male,19,1,Beginner,6,240.0,12.4,3,15.0,0,3,81,15,0.2,74,53.55743104202453,24.3,8.0,7.9,1,Minor,4.0,8.0,86,19,63,4,36,22,80,68,2024-01-10,Cloudy,Flat,243,279.0,9,0,0,0,1,0,0,0,0,0,0,36.0
R060724,52,Male,70,2,Advanced,7,223.0,12.4,6,15.0,1,1,74,16,8.0,80,48.39934135916922,26.2,4.1,7.5,0,None,5.0,5.0,92,26,62,8,54,30,46,15,2025-07-24,Hot,Mixed,195,238.0,8,0,0,0,0,0,0,0,0,0,0,43.0
R083558,21,Male,96,0,Advanced,6,,24.4,4,15.0,2,3,52,11,1.1,45,68.13031814265865,20.4,9.0,7.1,0,None,5.0,8.0,69,25,33,16,63,51,52,57,2025-10-08,Windy,Mixed,199,221.0,8,3,0,1,0,0,0,0,0,0,1,22.0
R047594,41,Male,115,1,Advanced,5,274.0,12.4,5,15.0,2,2,72,13,0.1,80,50.24616408841469,25.3,6.3,6.3,0,None,6.0,4.0,40,28,34,7,68,46,52,42,2024-01-01,Sunny,Flat,248,274.0,7,2,0,0,0,1,1,0,0,0,1,26.0
R082857,54,Male,48,2,Intermediate,4,238.0,21.4,5,15.0,1,2,86,14,0.0,74,51.89806315412618,21.7,7.0,5.9,0,None,5.0,5.0,77,14,40,22,60,57,53,84,2025-06-24,Sunny,Mixed,249,277.0,8,1,0,0,0,0,0,0,0,0,1,28.0
R098715,33,Male,18,1,Beginner,5,284.0,12.4,5,15.0,1,2,78,12,3.1,80,51.507038400724255,22.1,4.8,5.6,0,None,6.0,10.0,62,22,17,20,71,0,61,86,2025-03-10,Rainy,Flat,287,323.0,7,0,0,0,0,0,0,0,0,0,0,36.0
