runner_id,profile
R009432,1
R077741,3
R034376,3
R020754,2
R001301,1
R033817,0
R017407,0
R064216,1
R062212,3
R086631,0
R026067,3
R064812,0
R063701,0
R060724,1
R083558,2
R047594,3
R082857,1
R098715,1
R060107,0
R051932,2
R021491,1
R018255,2
R032893,2
R050041,1
R002188,1
R060019,3
R097969,0
R005090,0
R033720,2
R087926,3
R083627,0
R085650,3
R064220,3
R098283,0
R050512,2
R007458,1
R073495,1
R033938,0
R084106,0
R018680,3
R045561,0
R004960,1
R022678,2
R043265,2
R073446,0
R090941,1
R049975,1
R073831,3
R020069,0
R073317,3
R084136,1
R008777,2
R017737,0
R042095,1
R090174,2
R073621,0
R036500,2
R018935,3
R048718,0
R070909,0
R074551,0
R034650,0
R004939,0
R040132,0
R090201,1
R032641,3
R071255,3
R018502,2
R031750,0
R002358,0
R040498,1
R004256,2
R087849,0
R081960,1
R027551,2
R052701,1
R070815,1
R037806,3
R085171,0
R004493,0
R074942,2
R001754,1
R077895,0
R015235,3
R091284,0
R076940,0
R065159,0
R073083,0
R086236,3
R074800,0
R041331,2
R043525,0
R029637,1
R023713,3
R006421,0
R091082,2
R084067,0
R085978,3
R035642,0
R074266,1
R047162,1
R087861,0
R078744,3
R004082,2
R068049,3
R079307,0
R068359,0
R013782,1
R078095,0
R063110,0
R074272,2
R033703,2
R052494,0
R068865,0
R021517,0
R081697,0
R057333,1
R069043,0
R030737,1
R089770,0
R065153,0
R059728,1
R013518,0
R005543,2
R010812,0
R084996,2
R065621,1
R035622,0
R072635,1
R007441,1
R091863,0
R091691,0
R045715,0
R036951,2
R056081,2
R014149,1
R007435,1
R086372,1
R055519,1
R082508,0
R097646,3
R073044,0
R087299,3
R036378,0
R049112,2
R057528,0
R027120,1
R013742,3
R008802,1
R036418,0
R053823,1
R099364,0
R050501,0
R062171,0
R084059,1
R042731,0
R000749,1
R055529,1
R034121,0
R081397,0
R012937,0
R054805,3
R099683,0
R065393,3
R080276,0
R066832,0
R059922,0
R073175,1
R094561,2
R071771,0
R029950,2
R075612,1
R026541,0
R072859,0
R044003,3
R037454,1
R045239,1
R026417,1
R068939,1
R073114,1
R073486,3
R051534,3
R053490,1
R053574,3
R074074,0
R000944,0
R033265,2
R092910,0
R054033,2
R086105,1
R004599,0
R091397,0
R069989,0
R065154,1
R074986,0
R027586,3
R075394,2
R041736,0
R094335,1
R040328,0
R021413,0
R082172,3
R021980,3
R072458,0
R079697,1
R068954,0
R010648,1
R072101,1
R084882,3
R028759,3
R087047,0
R029743,1
R041598,2
R071343,0
